模型,TemplateCode,分类,免费额度,已消耗,剩余比例,剩余比例值,到期时间,到期提示,状态,Safemode,SupportSafe,当前容量,初始容量
qwen3-tts-vd-2026-01-26,sfm_inferenceQwenAudio_public_cn_20260203190824_0690,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-vc-2026-01-22,sfm_inferenceQwenAudio_public_cn_20260203190747_0649,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-vl-plus,sfm_inference_public_cn_20251111100341_0937,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-plus-2025-12-19,sfm_inference_public_cn_20251218170842_0098,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-plus-2025-09-23,sfm_inference_public_cn_20251111100343_0693,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-flash,sfm_inference_public_cn_20251111100337_0359,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-flash-2026-01-22,sfm_inference_public_cn_20260122162814_0718,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-flash-2025-10-15,sfm_inference_public_cn_20251111100340_0059,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
wan2.6-t2i,sfm_inference_public_cn_20251215150808_0286,visual,50 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.5-t2i-preview,sfm_inference_public_cn_20251111100537_0146,visual,50 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.2-t2i-plus,sfm_inference_public_cn_20251111100530_0477,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
wan2.2-t2i-flash,sfm_inference_public_cn_20251111100528_0684,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
wanx2.0-t2i-turbo,sfm_inference_public_cn_20251111100549_0427,llm,500 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
wanx2.1-t2i-turbo,sfm_inference_public_cn_20251111100558_0753,llm,500 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
wanx2.1-t2i-plus,sfm_inference_public_cn_20251111100557_0174,llm,500 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
wanx-v1,sfm_inference_public_cn_20251111100547_0615,llm,500 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
qwen-voice-design,sfm_inference_public_cn_20251215144706_0843,speech,10 units,0 units,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
qwen3-livetranslate-flash,sfm_inference_public_cn_20251203113902_0341,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-livetranslate-flash-2025-12-01,sfm_inference_public_cn_20251203113958_0024,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-omni-flash,sfm_inference_public_cn_20251111100314_0296,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-omni-flash-2025-12-01,sfm_inference_public_cn_20251203113657_0450,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-omni-flash-2025-09-15,sfm_inference_public_cn_20251111100315_0180,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-voice-enrollment,sfm_inference_public_cn_20251127154232_0058,speech,1K units,0 units,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000.0,1000.0
qwen3-omni-30b-a3b-captioner,sfm_inference_public_cn_20251111100312_0352,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-flash,sfm_inference_public_cn_20251111095939_0977,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-flash-2025-07-28,sfm_inference_public_cn_20251111095940_0877,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-tts,sfm_inference_public_cn_20251111100045_0486,speech,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-tts-latest,sfm_inference_public_cn_20251111100049_0609,speech,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-tts-2025-05-22,sfm_inference_public_cn_20251111100048_0153,speech,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-tts-2025-04-10,sfm_inference_public_cn_20251111100046_0067,speech,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
wanx2.1-vace-plus,sfm_inference_public_cn_20251111100603_0638,llm,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
qwen2.5-omni-7b,sfm_inference_public_cn_20251111100219_0796,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
MiniMax-M2.5,sfm_inference_public_cn_20260221112348_0087,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
MiniMax-M2.1,sfm_inference_public_cn_20260123092603_0882,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-max,sfm_inference_public_cn_20251111100106_0187,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-plus,sfm_inference_public_cn_20251111100125_0157,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-plus,sfm_inference_public_cn_20251111100022_0985,llm,1M tokens,21 tokens,100.0%,100.0,2026-10-21,剩余 55 天,valid,off,True,999979.0,1000000.0
qwen-plus-latest,sfm_inference_public_cn_20251111100610_0737,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-plus-2025-12-01,sfm_inference_public_cn_20251128181912_0683,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-plus-2025-09-11,sfm_inference_public_cn_20251111100042_0954,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-plus-2025-07-28,sfm_inference_public_cn_20251111100041_0127,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-plus-2025-07-14,sfm_inference_public_cn_20251111100040_0610,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-plus-2025-04-28,sfm_inference_public_cn_20251111100038_0919,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-plus-2025-01-25,sfm_inference_public_cn_20251111100037_0872,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-plus-0112,sfm_inference_public_cn_20251111100023_0927,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-plus-1220,sfm_inference_public_cn_20251111100035_0700,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
wanx-style-repaint-v1,sfm_inference_public_cn_20251111100546_0068,llm,500 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
wanx-sketch-to-image-lite,sfm_inference_public_cn_20251111100544_0301,visual,500 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
wanx-background-generation-v2,sfm_inference_public_cn_20251111100541_0180,llm,500 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
gui-plus,sfm_inference_public_cn_20251126093933_0584,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
gui-plus-2026-02-26,sfm_inference_public_cn_20260304151525_0751,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-turbo,sfm_inference_public_cn_20251111100056_0905,llm,1M tokens,24 tokens,100.0%,100.0,2026-10-21,剩余 55 天,valid,off,True,999976.0,1000000.0
qvq-plus,sfm_inference_public_cn_20251111095928_0601,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwq-plus,sfm_inference_public_cn_20251111100348_0193,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-long,sfm_inference_public_cn_20251111095947_0841,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-long-latest,sfm_inference_public_cn_20251111095950_0177,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-long-2025-01-25,sfm_inference_public_cn_20251111095949_0825,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-plus-character,sfm_inference_public_cn_20251111100044_0534,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-omni-turbo,sfm_inference_public_cn_20251111100013_0723,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-omni-turbo-latest,sfm_inference_public_cn_20251111100017_0182,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-omni-turbo-2025-03-26,sfm_inference_public_cn_20251111100016_0255,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-omni-turbo-2025-01-19,sfm_inference_public_cn_20251111100014_0421,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-coder-plus,sfm_inference_public_cn_20251111095932_0180,llm,1M tokens,28 tokens,100.0%,100.0,2026-10-21,剩余 55 天,valid,off,True,999972.0,1000000.0
qwen-math-turbo,sfm_inference_public_cn_20251111095956_0106,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-math-plus,sfm_inference_public_cn_20251111095951_0941,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-math-plus-latest,sfm_inference_public_cn_20251111095955_0868,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-math-plus-0919,sfm_inference_public_cn_20251111095954_0217,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-math-plus-0816,sfm_inference_public_cn_20251111095952_0831,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-max,sfm_inference_public_cn_20251111100000_0962,llm,1M tokens,36 tokens,100.0%,100.0,2026-10-21,剩余 55 天,valid,off,True,999964.0,1000000.0
qwen-coder-turbo,sfm_inference_public_cn_20251111095936_0366,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
tongyi-xiaomi-analysis-flash,sfm_inferenceDomain_public_cn_20260107194036_0858,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
tongyi-xiaomi-analysis-pro,sfm_inferenceDomain_public_cn_20260107193954_0017,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
z-image-turbo,sfm_inference_public_cn_20251218122749_0900,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
aitryon-plus,sfm_inference_public_cn_20251111095823_0647,llm,400 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,400.0,400.0
sambert-zhiyuan-v1,sfm_inference_public_cn_20251111100454_0602,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhinan-v1,sfm_inference_public_cn_20251111100433_0122,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhigui-v1,sfm_inference_public_cn_20251111100417_0506,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhichu-v1,sfm_inference_public_cn_20251111100411_0175,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-hanna-v1,sfm_inference_public_cn_20251111100405_0531,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-clara-v1,sfm_inference_public_cn_20251111100400_0635,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-eva-v1,sfm_inference_public_cn_20251111100404_0152,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-cally-v1,sfm_inference_public_cn_20251111100356_0620,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-brian-v1,sfm_inference_public_cn_20251111100355_0931,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhiming-v1,sfm_inference_public_cn_20251111100428_0572,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhina-v1,sfm_inference_public_cn_20251111100431_0372,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-beth-v1,sfm_inference_public_cn_20251111100352_0926,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-camila-v1,sfm_inference_public_cn_20251111100358_0970,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-cindy-v1,sfm_inference_public_cn_20251111100359_0999,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-donna-v1,sfm_inference_public_cn_20251111100402_0923,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-perla-v1,sfm_inference_public_cn_20251111100408_0031,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhide-v1,sfm_inference_public_cn_20251111100414_0922,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhijia-v1,sfm_inference_public_cn_20251111100420_0080,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhilun-v1,sfm_inference_public_cn_20251111100423_0883,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhiqian-v1,sfm_inference_public_cn_20251111100436_0157,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhishu-v1,sfm_inference_public_cn_20251111100439_0131,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhistella-v1,sfm_inference_public_cn_20251111100442_0436,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-indah-v1,sfm_inference_public_cn_20251111100407_0270,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-waan-v1,sfm_inference_public_cn_20251111100410_0271,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhida-v1,sfm_inference_public_cn_20251111100413_0086,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhifei-v1,sfm_inference_public_cn_20251111100416_0183,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhihao-v1,sfm_inference_public_cn_20251111100419_0782,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhijing-v1,sfm_inference_public_cn_20251111100422_0700,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhimiao-emo-v1,sfm_inference_public_cn_20251111100426_0349,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhimao-v1,sfm_inference_public_cn_20251111100425_0180,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhimo-v1,sfm_inference_public_cn_20251111100430_0719,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhiqi-v1,sfm_inference_public_cn_20251111100434_0721,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhiru-v1,sfm_inference_public_cn_20251111100437_0853,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhishuo-v1,sfm_inference_public_cn_20251111100440_0535,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhiting-v1,sfm_inference_public_cn_20251111100443_0409,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhixiang-v1,sfm_inference_public_cn_20251111100447_0280,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhiwei-v1,sfm_inference_public_cn_20251111100445_0847,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhixiao-v1,sfm_inference_public_cn_20251111100448_0944,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhiya-v1,sfm_inference_public_cn_20251111100450_0022,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhiying-v1,sfm_inference_public_cn_20251111100453_0671,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhiye-v1,sfm_inference_public_cn_20251111100451_0495,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-zhiyue-v1,sfm_inference_public_cn_20251111100456_0744,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
sambert-betty-v1,sfm_inference_public_cn_20251111100353_0441,llm,30K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,30000.0,30000.0
paraformer-8k-v2,sfm_inference_public_cn_20251111095913_0518,llm,36K seconds,0 seconds,100%,100,2099-01-01,永不过期,valid,off,True,36000.0,36000.0
paraformer-8k-v1,sfm_inference_public_cn_20251111095912_0797,llm,36K seconds,0 seconds,100%,100,2099-01-01,永不过期,valid,off,True,36000.0,36000.0
paraformer-v2,sfm_inference_public_cn_20251111095921_0462,llm,36K seconds,0 seconds,100%,100,2099-01-01,永不过期,valid,off,True,36000.0,36000.0
paraformer-v1,sfm_inference_public_cn_20251111095920_0920,llm,36K seconds,0 seconds,100%,100,2099-01-01,永不过期,valid,off,True,36000.0,36000.0
paraformer-mtl-v1,sfm_inference_public_cn_20251111095914_0674,llm,36K seconds,0 seconds,100%,100,2099-01-01,永不过期,valid,off,True,36000.0,36000.0
wordart-semantic,sfm_inference_public_cn_20251111100604_0742,llm,500 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
wordart-texture,sfm_inference_public_cn_20251111100606_0134,llm,500 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
gummy-chat-v1,sfm_inference_public_cn_20251111095904_0701,llm,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
emoji-v1,sfm_inference_public_cn_20251111095850_0718,llm,500 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
aitryon-parsing-v1,sfm_inference_public_cn_20251111095821_0392,llm,800 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,800.0,800.0
animate-anyone-gen2,sfm_inference_public_cn_20251111095827_0114,llm,1.8K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,1800.0,1800.0
tongyi-intent-detect-v3,sfm_inference_public_cn_20251111100512_0921,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
liveportrait,sfm_inference_public_cn_20251111095907_0692,llm,1.8K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,1800.0,1800.0
animate-anyone-template-gen2,sfm_inference_public_cn_20251111095829_0739,llm,1.8K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,1800.0,1800.0
videoretalk,sfm_inference_public_cn_20251111100515_0883,llm,1.8K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,1800.0,1800.0
emo-v1,sfm_inference_public_cn_20251111095848_0122,llm,1.8K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,1800.0,1800.0
aitryon-refiner,sfm_inference_public_cn_20251111095825_0203,llm,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
aitryon,sfm_inference_public_cn_20251111095820_0678,llm,400 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,400.0,400.0
image-out-painting,sfm_inference_public_cn_20251111095906_0555,visual,500 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
video-style-transform,sfm_inference_public_cn_20251111100514_0998,llm,600 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,600.0,600.0
qvq-max,sfm_inference_public_cn_20251111095923_0109,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-tts-flash,sfm_inference_public_cn_20251111100616_0019,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-flash-2025-11-27,sfm_inference_public_cn_20251126092035_0586,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-flash-2025-09-18,sfm_inference_public_cn_20251111100618_0528,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
animate-anyone-detect-gen2,sfm_inference_public_cn_20251111095826_0308,llm,200 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,200.0,200.0
avatar-dialog,sfm_inference_public_cn_20251111095830_0819,llm,600 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,600.0,600.0
cosyvoice-v3,sfm_inference_public_cn_20251111095835_0073,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
deepseek-v4-flash-0731,sfm_inference_public_cn_20260731232750_0117,llm,1M tokens,0 tokens,100%,100,2026-10-31,剩余 65 天,valid,off,True,1000000.0,1000000.0
emo-detect-v1,sfm_inference_public_cn_20251111095846_0079,llm,200 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,200.0,200.0
emoji-detect-v1,sfm_inference_public_cn_20251111095849_0038,llm,200 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,200.0,200.0
fun-asr-flash-8k-realtime,sfm_inferenceFunAudio_public_cn_20260203105201_0333,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-asr-flash-8k-realtime-2026-01-28,sfm_inferenceFunAudio_public_cn_20260203105305_0267,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-asr-mtl-realtime,sfm_inference_public_cn_20251209170048_0618,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-asr-mtl-realtime-2025-12-10,sfm_inference_public_cn_20251209170212_0431,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-asr-realtime,sfm_inference_public_cn_20251111095857_0536,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-asr-realtime-2025-09-15,sfm_inference_public_cn_20251111095859_0964,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-asr-realtime-2025-11-07,sfm_inference_public_cn_20251114160220_0980,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-cosyvoice-v3.6-flash,sfm_inferenceFunAudio_public_cn_20260706171231_0455,speech,10K chars,0 chars,100%,100,2027-01-19,剩余 145 天,valid,off,True,10000.0,10000.0
fun-cosyvoice-v3.6-plus,sfm_inferenceFunAudio_public_cn_20260706171326_0435,speech,10K chars,0 chars,100%,100,2027-01-19,剩余 145 天,valid,off,True,10000.0,10000.0
fun-music-preview,sfm_inferenceFunAudio_public_cn_20260528112105_0966,speech,10K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
fun-music-v1,sfm_inferenceFunAudio_public_cn_20260427140415_0350,speech,10K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
gte-rerank-v2,sfm_inference_public_cn_20251111095903_0243,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
gummy-realtime-v1,sfm_inference_public_cn_20251111095905_0407,llm,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
kimi-k3,sfm_inference_public_cn_20260818202732_0281,llm,1M tokens,0 tokens,100%,100,2026-11-18,剩余 83 天,valid,off,True,1000000.0,1000000.0
liveportrait-detect,sfm_inference_public_cn_20251111095908_0333,llm,200 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,200.0,200.0
multimodal-embedding-v1,sfm_inference_public_cn_20260116174318_0110,embedding,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
opennlu-v1,sfm_inference_public_cn_20251111095909_0040,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
paraformer-8k-lite-v1,sfm_inference_public_cn_20251111095910_0691,llm,36K seconds,0 seconds,100%,100,2099-01-01,永不过期,valid,off,True,36000.0,36000.0
paraformer-realtime-8k-v1,sfm_inference_public_cn_20251111095915_0471,llm,36K seconds,0 seconds,100%,100,2099-01-01,永不过期,valid,off,True,36000.0,36000.0
