模型,TemplateCode,分类,免费额度,已消耗,剩余比例,剩余比例值,到期时间,到期提示,状态,Safemode,SupportSafe,当前容量,初始容量
qwen-vl-plus-2025-01-25,sfm_inference_public_cn_20251111100130_0614,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-plus-2025-05-07,sfm_inference_public_cn_20251111100131_0380,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-plus-2025-08-15,sfm_inference_public_cn_20251111100132_0865,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-plus-latest,sfm_inference_public_cn_20251111100134_0884,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen1.5-110b-chat,sfm_inference_public_cn_20251111100136_0131,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen1.5-14b-chat,sfm_inference_public_cn_20251111100138_0752,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen1.5-32b-chat,sfm_inference_public_cn_20251111100139_0069,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen1.5-72b-chat,sfm_inference_public_cn_20251111100141_0430,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen1.5-7b-chat,sfm_inference_public_cn_20251111100142_0945,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2-57b-a14b-instruct,sfm_inference_public_cn_20251111100144_0128,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2-72b-instruct,sfm_inference_public_cn_20251111100145_0461,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2-7b-instruct,sfm_inference_public_cn_20251111100147_0552,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2-vl-72b-instruct,sfm_inference_public_cn_20251111100149_0580,visual,100K tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,100000.0,100000.0
qwen2.5-14b-instruct,sfm_inference_public_cn_20251111100150_0965,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
